country,region,happiness_score,gdp_per_capita,social_support,life_expectancy,freedom,generosity,corruption,year,region_avg_happiness,region_avg_gdp,happiness_vs_region,happiness_zscore
Taiwan,Eastern Asia,6.298,1.29098,1.07617,0.8753,0.3974,0.25376,0.08129,2015,5.626166666666666,1.15178,0.6718333333333337,0.7784578848765331
Kuwait,Middle East and Northern Africa,6.295,1.55422,1.16594,0.72492,0.55499,0.16228,0.25609,2015,5.406899999999999,1.0669735,0.8881000000000006,0.7757670781937094
Suriname,Latin America and Caribbean,6.269,0.99534,0.972,0.6082,0.59657,0.16991,0.13633,2015,6.144681818181818,0.8768154545454546,0.12431818181818244,0.7524467536092377
Trinidad and Tobago,Latin America and Caribbean,6.168,1.21183,1.18354,0.61483,0.55884,0.31844,0.0114,2015,6.144681818181818,0.8768154545454546,0.02331818181818246,0.6618562619541742
El Salvador,Latin America and Caribbean,6.13,0.76454,1.02507,0.67737,0.4035,0.10692,0.11776,2015,6.144681818181818,0.8768154545454546,-0.014681818181817796,0.6277727106384076
Guatemala,Latin America and Caribbean,6.123,0.74553,1.04356,0.64425,0.57733,0.27489,0.09472,2015,6.144681818181818,0.8768154545454546,-0.02168181818181747,0.6214941617118193
Uzbekistan,Central and Eastern Europe,6.003,0.63244,1.34043,0.59772,0.65821,0.22837,0.30826,2015,5.332931034482758,0.942438275862069,0.6700689655172418,0.5138618943988724
Slovakia,Central and Eastern Europe,5.995,1.16891,1.26999,0.78902,0.31751,0.16893,0.03431,2015,5.332931034482758,0.942438275862069,0.6620689655172418,0.5066864099113426
Japan,Eastern Asia,5.987,1.27074,1.25712,0.99111,0.49615,0.10705,0.1806,2015,5.626166666666666,1.15178,0.3608333333333338,0.4995109254238128
South Korea,Eastern Asia,5.984,1.24461,0.95774,0.96538,0.33208,0.18557,0.07857,2015,5.626166666666666,1.15178,0.35783333333333367,0.496820118740989
Ecuador,Latin America and Caribbean,5.975,0.86402,0.99903,0.79075,0.48574,0.11541,0.1809,2015,6.144681818181818,0.8768154545454546,-0.16968181818181804,0.4887476986925177
Bahrain,Middle East and Northern Africa,5.96,1.32376,1.21624,0.74716,0.45492,0.17362,0.306,2015,5.406899999999999,1.0669735,0.5531000000000006,0.4752936652783996
Italy,Western Europe,5.948,1.25114,1.19777,0.95446,0.26236,0.22823,0.02901,2015,6.689619047619048,1.2985957142857143,-0.7416190476190474,0.46453043854710535
Bolivia,Latin America and Caribbean,5.89,0.68133,0.97841,0.5392,0.57414,0.20536,0.088,2015,6.144681818181818,0.8768154545454546,-0.254681818181818,0.41250817601251377
Moldova,Central and Eastern Europe,5.889,0.59448,1.01528,0.61826,0.32818,0.20951,0.01615,2015,5.332931034482758,0.942438275862069,0.5560689655172419,0.41161124045157305
Paraguay,Latin America and Caribbean,5.878,0.75985,1.30477,0.66098,0.53899,0.3424,0.08242,2015,6.144681818181818,0.8768154545454546,-0.2666818181818176,0.40174494928121945
Kazakhstan,Central and Eastern Europe,5.855,1.12254,1.12241,0.64368,0.51649,0.11827,0.08454,2015,5.332931034482758,0.942438275862069,0.5220689655172421,0.3811154313795716
Slovenia,Central and Eastern Europe,5.848,1.18498,1.27385,0.87337,0.60855,0.25328,0.03787,2015,5.332931034482758,0.942438275862069,0.5150689655172416,0.3748368824529826
Lithuania,Central and Eastern Europe,5.833,1.14723,1.25745,0.73128,0.21342,0.02641,0.01031,2015,5.332931034482758,0.942438275862069,0.5000689655172419,0.3613828490388645
Nicaragua,Latin America and Caribbean,5.828,0.59325,1.14184,0.74314,0.55475,0.27815,0.19317,2015,6.144681818181818,0.8768154545454546,-0.3166818181818174,0.35689817123415846
Peru,Latin America and Caribbean,5.824,0.90019,0.97459,0.73017,0.41496,0.14982,0.05989,2015,6.144681818181818,0.8768154545454546,-0.32068181818181785,0.35331042899039317
Belarus,Central and Eastern Europe,5.813,1.03192,1.23289,0.73608,0.37938,0.11046,0.1909,2015,5.332931034482758,0.942438275862069,0.48006896551724143,0.34344413782003963
Poland,Central and Eastern Europe,5.791,1.12555,1.27948,0.77903,0.53122,0.16759,0.04212,2015,5.332931034482758,0.942438275862069,0.4580689655172421,0.3237115554793333
